condition,spreader,moderator,seed,shock,total_exposure,peak_infection,time_to_containment,contained,false_positives,takedowns,false_positive_rate,recovery_time,recovered,lam
C6,centrality,impact_weighted,19,False,181,26,33,True,1,43,0.023255813953488372,,,50.0
C6,centrality,impact_weighted,20,False,366,35,28,True,0,50,0.0,,,50.0
C6,centrality,impact_weighted,21,False,270,29,44,True,0,46,0.0,,,50.0
C6,centrality,impact_weighted,22,False,423,42,26,True,1,39,0.02564102564102564,,,50.0
C6,centrality,impact_weighted,23,False,229,26,20,True,0,46,0.0,,,50.0
C6,centrality,impact_weighted,24,False,507,51,41,True,0,44,0.0,,,50.0
C6,centrality,impact_weighted,25,False,413,53,20,True,0,45,0.0,,,50.0
C6,centrality,impact_weighted,26,False,489,44,22,True,0,56,0.0,,,50.0
C6,centrality,impact_weighted,27,False,401,52,39,True,0,41,0.0,,,50.0
C6,centrality,impact_weighted,28,False,440,56,21,True,0,47,0.0,,,50.0
C6,centrality,impact_weighted,29,False,532,56,26,True,0,47,0.0,,,50.0
C6,centrality,impact_weighted,0,False,344,40,22,True,0,53,0.0,,,200.0
C6,centrality,impact_weighted,1,False,302,32,51,True,1,45,0.022222222222222223,,,200.0
C6,centrality,impact_weighted,2,False,367,26,44,True,1,45,0.022222222222222223,,,200.0
C6,centrality,impact_weighted,3,False,352,49,51,True,0,46,0.0,,,200.0
C6,centrality,impact_weighted,4,False,298,29,21,True,0,52,0.0,,,200.0
C6,centrality,impact_weighted,5,False,338,33,22,True,0,48,0.0,,,200.0
C6,centrality,impact_weighted,6,False,411,43,24,True,0,43,0.0,,,200.0
C6,centrality,impact_weighted,7,False,569,51,23,True,0,51,0.0,,,200.0
C6,centrality,impact_weighted,8,False,533,51,41,True,0,46,0.0,,,200.0
C6,centrality,impact_weighted,9,False,360,43,21,True,0,35,0.0,,,200.0
C6,centrality,impact_weighted,10,False,416,38,58,True,0,47,0.0,,,200.0
C6,centrality,impact_weighted,11,False,300,36,24,True,0,52,0.0,,,200.0
C6,centrality,impact_weighted,12,False,392,37,21,True,0,46,0.0,,,200.0
C6,centrality,impact_weighted,13,False,377,45,22,True,0,39,0.0,,,200.0
C6,centrality,impact_weighted,14,False,588,63,27,True,0,48,0.0,,,200.0
C6,centrality,impact_weighted,15,False,458,55,22,True,0,56,0.0,,,200.0
C6,centrality,impact_weighted,16,False,549,53,32,True,0,46,0.0,,,200.0
C6,centrality,impact_weighted,17,False,264,38,21,True,0,56,0.0,,,200.0
C6,centrality,impact_weighted,18,False,400,45,52,True,0,52,0.0,,,200.0
C6,centrality,impact_weighted,19,False,325,36,22,True,0,35,0.0,,,200.0
C6,centrality,impact_weighted,20,False,694,39,31,True,0,50,0.0,,,200.0
C6,centrality,impact_weighted,21,False,587,62,47,True,0,44,0.0,,,200.0
C6,centrality,impact_weighted,22,False,302,42,23,True,0,36,0.0,,,200.0
C6,centrality,impact_weighted,23,False,232,34,21,True,0,47,0.0,,,200.0
C6,centrality,impact_weighted,24,False,527,55,41,True,0,41,0.0,,,200.0
C6,centrality,impact_weighted,25,False,529,62,23,True,0,42,0.0,,,200.0
C6,centrality,impact_weighted,26,False,569,55,25,True,0,50,0.0,,,200.0
C6,centrality,impact_weighted,27,False,401,52,39,True,0,41,0.0,,,200.0
C6,centrality,impact_weighted,28,False,546,48,25,True,0,42,0.0,,,200.0
C6,centrality,impact_weighted,29,False,569,56,29,True,0,48,0.0,,,200.0
